seasonType,year,seasonName,seasonSlug,leagueId,midsizeName,leagueName,leagueShortName
12983,2024,"2024-25 English FA Cup, Quarterfinals",quarterfinals,3918,ENG.FA,English FA Cup,English FA Cup
12982,2024,"2024-25 English FA Cup, Semifinals",semifinals,3918,ENG.FA,English FA Cup,English FA Cup
12984,2024,"2024-25 English FA Cup, Fifth Round",fifth-round,3918,ENG.FA,English FA Cup,English FA Cup
12986,2024,"2024-25 English FA Cup, Third Round",third-round,3918,ENG.FA,English FA Cup,English FA Cup
12727,2024,"2024-25 English Carabao Cup, Final",final,3920,ENG.LEAGUE_CUP,English Carabao Cup,Carabao Cup
12728,2024,"2024-25 English Carabao Cup, Semifinals",semifinals,3920,ENG.LEAGUE_CUP,English Carabao Cup,Carabao Cup
12729,2024,"2024-25 English Carabao Cup, Quarterfinals",quarterfinals,3920,ENG.LEAGUE_CUP,English Carabao Cup,Carabao Cup
12730,2024,"2024-25 English Carabao Cup, Fourth Round",fourth-round,3920,ENG.LEAGUE_CUP,English Carabao Cup,Carabao Cup
12731,2024,"2024-25 English Carabao Cup, Third Round",third-round,3920,ENG.LEAGUE_CUP,English Carabao Cup,Carabao Cup
12732,2024,"2024-25 English Carabao Cup, Second Round",second-round,3920,ENG.LEAGUE_CUP,English Carabao Cup,Carabao Cup
12733,2024,"2024-25 English Carabao Cup, First Round",first-round,3920,ENG.LEAGUE_CUP,English Carabao Cup,Carabao Cup
12739,2024,"2024-25 EFL Trophy, Group Stage",group-stage,18481,ENG.TROPHY,English EFL Trophy,EFL Trophy
12738,2024,"2024-25 EFL Trophy, Second Round",second-round,18481,ENG.TROPHY,English EFL Trophy,EFL Trophy
12737,2024,"2024-25 EFL Trophy, Third Round",third-round,18481,ENG.TROPHY,English EFL Trophy,EFL Trophy
12736,2024,"2024-25 EFL Trophy, Quarterfinals",quarterfinals,18481,ENG.TROPHY,English EFL Trophy,EFL Trophy
12734,2024,"2024-25 EFL Trophy, Final",final,18481,ENG.TROPHY,English EFL Trophy,EFL Trophy
12735,2024,"2024-25 EFL Trophy, Semifinals",semifinals,18481,ENG.TROPHY,English EFL Trophy,EFL Trophy
12837,2024,2024-25 English Women's Super League,2024-25-english-womens-super-league,8097,ENG.W.1,English Women's Super League,Women's Super League
12980,2024,"2024-25 English Women's FA Cup, First Round",first-round,20226,ENG.W.FA,English Women's FA Cup,Women's FA Cup
12978,2024,"2024-25 English Women's FA Cup, Third Round",third-round,20226,ENG.W.FA,English Women's FA Cup,Women's FA Cup
12977,2024,"2024-25 English Women's FA Cup, Fourth Round",fourth-round,20226,ENG.W.FA,English Women's FA Cup,Women's FA Cup
12976,2024,"2024-25 English Women's FA Cup, Fifth Round",fifth-round,20226,ENG.W.FA,English Women's FA Cup,Women's FA Cup
12975,2024,"2024-25 English Women's FA Cup, Quarterfinals",quarterfinals,20226,ENG.W.FA,English Women's FA Cup,Women's FA Cup
12974,2024,"2024-25 English Women's FA Cup, Semifinals",semifinals,20226,ENG.W.FA,English Women's FA Cup,Women's FA Cup
12979,2024,"2024-25 English Women's FA Cup, Second Round",second-round,20226,ENG.W.FA,English Women's FA Cup,Women's FA Cup
12973,2024,"2024-25 English Women's FA Cup, Final",final,20226,ENG.W.FA,English Women's FA Cup,Women's FA Cup
12655,2024,2024-25 LALIGA,2024-25-laliga,740,ESP.1,Spanish LALIGA,LALIGA
12722,2024,"2024-25 Spanish LALIGA 2, Regular Season",regular-season,3921,ESP.2,Spanish LALIGA 2,LALIGA 2
12853,2024,"2024-25 Spanish Copa de la Reina, Final",final,20381,ESP.COPA_DE_LA_REINA,Spanish Copa de la Reina,Copa de la Reina
12858,2024,"2024-25 Spanish Copa de la Reina, Second Round",second-round,20381,ESP.COPA_DE_LA_REINA,Spanish Copa de la Reina,Copa de la Reina
12859,2024,"2024-25 Spanish Copa de la Reina, First Round",first-round,20381,ESP.COPA_DE_LA_REINA,Spanish Copa de la Reina,Copa de la Reina
12857,2024,"2024-25 Spanish Copa de la Reina, Round of 32",round-of-32,20381,ESP.COPA_DE_LA_REINA,Spanish Copa de la Reina,Copa de la Reina
12856,2024,"2024-25 Spanish Copa de la Reina, Round of 16",round-of-16,20381,ESP.COPA_DE_LA_REINA,Spanish Copa de la Reina,Copa de la Reina
12855,2024,"2024-25 Spanish Copa de la Reina, Quarterfinals",quarterfinals,20381,ESP.COPA_DE_LA_REINA,Spanish Copa de la Reina,Copa de la Reina
12854,2024,"2024-25 Spanish Copa de la Reina, Semifinals",semifinals,20381,ESP.COPA_DE_LA_REINA,Spanish Copa de la Reina,Copa de la Reina
12916,2024,"2024-25 Spanish Copa del Rey, Final",final,3951,ESP.COPA_DEL_REY,Spanish Copa del Rey,Copa del Rey
12918,2024,"2024-25 Spanish Copa del Rey, Quarterfinals",quarterfinals,3951,ESP.COPA_DEL_REY,Spanish Copa del Rey,Copa del Rey
12917,2024,"2024-25 Spanish Copa del Rey, Semifinals",semifinals,3951,ESP.COPA_DEL_REY,Spanish Copa del Rey,Copa del Rey
12923,2024,"2024-25 Spanish Copa del Rey, Qualifying Round",qualifying-round,3951,ESP.COPA_DEL_REY,Spanish Copa del Rey,Copa del Rey
12922,2024,"2024-25 Spanish Copa del Rey, First Round",first-round,3951,ESP.COPA_DEL_REY,Spanish Copa del Rey,Copa del Rey
12921,2024,"2024-25 Spanish Copa del Rey, Second Round",second-round,3951,ESP.COPA_DEL_REY,Spanish Copa del Rey,Copa del Rey
12920,2024,"2024-25 Spanish Copa del Rey, Round of 32",round-of-32,3951,ESP.COPA_DEL_REY,Spanish Copa del Rey,Copa del Rey
12919,2024,"2024-25 Spanish Copa del Rey, Round of 16",round-of-16,3951,ESP.COPA_DEL_REY,Spanish Copa del Rey,Copa del Rey
12813,2024,2024 Trofeo Joan Gamper,2024-trofeo-joan-gamper,17929,ESP.JOAN_GAMPER,Trofeo Joan Gamper,Trofeo Joan Gamper
12753,2024,"2024-25 Spanish Supercopa, Semifinals",semifinals,8102,ESP.SUPER_CUP,Spanish Supercopa,Spanish Supercopa
12752,2024,"2024-25 Spanish Supercopa, Final",final,8102,ESP.SUPER_CUP,Spanish Supercopa,Spanish Supercopa
12876,2024,2024-25 Spanish Liga F,2024-25-spanish-liga-f,20956,ESP.W.1,Spanish Liga F,Liga F
12136,2024,2024 International Friendly,2024-international-friendly,3922,FIFA.FRIENDLY,International Friendly,Men's International Friendly
12473,2024,2024 U21 International Friendly,2024-u21-international-friendly,20132,FIFA.FRIENDLY_U21,Under-21 International Friendly,Men's U-21 Friendly
12371,2024,2024 Women's International Friendly,2024-womens-international-friendly,3923,FIFA.FRIENDLY.W,Women's International Friendly,Women's International Friendly
12926,2024,"2024 FIFA Intercontinental Cup, Playoff",playoff,22902,FIFA.INTERCONTINENTAL_CUP,FIFA Intercontinental Cup,Intercontinental Cup
12924,2024,"2024 FIFA Intercontinental Cup, First Round",first-round,22902,FIFA.INTERCONTINENTAL_CUP,FIFA Intercontinental Cup,Intercontinental Cup
12927,2024,"2024 FIFA Intercontinental Cup, Final",final,22902,FIFA.INTERCONTINENTAL_CUP,FIFA Intercontinental Cup,Intercontinental Cup
12925,2024,"2024 FIFA Intercontinental Cup, Second Round",second-round,22902,FIFA.INTERCONTINENTAL_CUP,FIFA Intercontinental Cup,Intercontinental Cup
12863,2024,"2024 Intercontinental Cup, Group Stage",group-stage,782,FIFA.INTERCONTINENTAL.CUP,Intercontinental Cup (India),Intercontinental Cup (India)
12488,2024,"2024 Olympic Men's Soccer, Gold Medal Match",gold-medal-match,3924,FIFA.OLYMPICS,Men's Olympic Soccer Tournament,OLY Soccer (M)
12492,2024,"2024 Olympic Men's Soccer, Group Stage",group-stage,3924,FIFA.OLYMPICS,Men's Olympic Soccer Tournament,OLY Soccer (M)
12491,2024,"2024 Olympic Men's Soccer, Quarterfinals",quarterfinals,3924,FIFA.OLYMPICS,Men's Olympic Soccer Tournament,OLY Soccer (M)
12490,2024,"2024 Olympic Men's Soccer, Semifinals",semifinals,3924,FIFA.OLYMPICS,Men's Olympic Soccer Tournament,OLY Soccer (M)
12489,2024,"2024 Olympic Men's Soccer, Bronze Medal Match",bronze-medal-match,3924,FIFA.OLYMPICS,Men's Olympic Soccer Tournament,OLY Soccer (M)
12487,2024,"2024 Olympic Women's Soccer, Group Stage",group-stage,3925,FIFA.W.OLYMPICS,Women's Olympic Soccer Tournament,OLY Soccer (W)
12486,2024,"2024 Olympic Women's Soccer, Quarterfinals",quarterfinals,3925,FIFA.W.OLYMPICS,Women's Olympic Soccer Tournament,OLY Soccer (W)
12485,2024,"2024 Olympic Women's Soccer, Semifinals",semifinals,3925,FIFA.W.OLYMPICS,Women's Olympic Soccer Tournament,OLY Soccer (W)
12483,2024,"2024 Olympic Women's Soccer, Gold Medal Match",gold-medal-match,3925,FIFA.W.OLYMPICS,Women's Olympic Soccer Tournament,OLY Soccer (W)
12484,2024,"2024 Olympic Women's Soccer, Bronze Medal Match",bronze-medal-match,3925,FIFA.W.OLYMPICS,Women's Olympic Soccer Tournament,OLY Soccer (W)
12414,2024,"2026 World Cup Qualifying - Concacaf, Second Round",second-round,788,FIFA.WORLDQ.CONCACAF,FIFA World Cup Qualifying - Concacaf,WCQ - Concacaf
12415,2024,"2026 World Cup Qualifying - CONCACAF, First Round",first-round,788,FIFA.WORLDQ.CONCACAF,FIFA World Cup Qualifying - Concacaf,WCQ - Concacaf
12823,2024,"2026 World Cup Qualifying - OFC, Semifinals",semifinals,792,FIFA.WORLDQ.OFC,FIFA World Cup Qualifying - OFC,WCQ - OFC
12822,2024,"2026 World Cup Qualifying - OFC, Final",final,792,FIFA.WORLDQ.OFC,FIFA World Cup Qualifying - OFC,WCQ - OFC
12825,2024,"2026 World Cup Qualifying - OFC, First Round",first-round,792,FIFA.WORLDQ.OFC,FIFA World Cup Qualifying - OFC,WCQ - OFC
12824,2024,"2026 World Cup Qualifying - OFC, Group Stage",group-stage,792,FIFA.WORLDQ.OFC,FIFA World Cup Qualifying - OFC,WCQ - OFC
12651,2024,"2024 FIFA Under-17 Women's World Cup, Semifinals",semifinals,20865,FIFA.WWORLD.U17,FIFA Under-17 Women's World Cup,U-17 WWC
12652,2024,"2024 FIFA Under-17 Women's World Cup, Quarterfinals",quarterfinals,20865,FIFA.WWORLD.U17,FIFA Under-17 Women's World Cup,U-17 WWC
12653,2024,"2024 FIFA Under-17 Women's World Cup, Group Stage",group-stage,20865,FIFA.WWORLD.U17,FIFA Under-17 Women's World Cup,U-17 WWC
12649,2024,"2024 FIFA Under-17 Women's World Cup, Final",final,20865,FIFA.WWORLD.U17,FIFA Under-17 Women's World Cup,U-17 WWC
12650,2024,"2024 FIFA Under-17 Women's World Cup, 3rd-Place",3rd-place,20865,FIFA.WWORLD.U17,FIFA Under-17 Women's World Cup,U-17 WWC
12694,2024,2024-25 Ligue 1,2024-25-ligue-1,710,FRA.1,French Ligue 1,Ligue 1
13357,2024,"2024-25 French Ligue 1 Promotion/Relegation Playoffs, Quarterfinals",quarterfinals,20159,FRA.1.PROMOTION.RELEGATION,French Ligue 1 Promotion/Relegation Playoffs,Ligue 1 Pro/Rel
13356,2024,"2024-25 French Ligue 1 Promotion/Relegation Playoffs, Semifinal",semifinal,20159,FRA.1.PROMOTION.RELEGATION,French Ligue 1 Promotion/Relegation Playoffs,Ligue 1 Pro/Rel
12695,2024,2024-25 Ligue 2,2024-25-ligue-2,3926,FRA.2,French Ligue 2,Ligue 2
13011,2024,"2024-25 Coupe de France, Final",final,3952,FRA.COUPE_DE_FRANCE,Coupe de France,Coupe de France
13012,2024,"2024-25 Coupe de France, Semifinals",semifinals,3952,FRA.COUPE_DE_FRANCE,Coupe de France,Coupe de France
13013,2024,"2024-25 Coupe de France, Quarterfinals",quarterfinals,3952,FRA.COUPE_DE_FRANCE,Coupe de France,Coupe de France
13014,2024,"2024-25 Coupe de France, Round of 16",round-of-16,3952,FRA.COUPE_DE_FRANCE,Coupe de France,Coupe de France
13015,2024,"2024-25 Coupe de France, Round of 32",round-of-32,3952,FRA.COUPE_DE_FRANCE,Coupe de France,Coupe de France
13016,2024,"2024-25 Coupe de France, Round of 64",round-of-64,3952,FRA.COUPE_DE_FRANCE,Coupe de France,Coupe de France
12586,2024,2024 French Super Cup,2024-french-super-cup,8357,FRA.SUPER_CUP,French Trophee des Champions,Trophee des Champions
12820,2024,"2024-25 French Première Ligue, Playoffs - Semifinals",playoffs---semifinals,20955,FRA.W.1,French Première Ligue,Première Ligue
12821,2024,"2024-25 French Première Ligue, Regular Season",regular-season,20955,FRA.W.1,French Première Ligue,Première Ligue
12818,2024,"2024-25 French Première Ligue, Playoffs - Final",playoffs---final,20955,FRA.W.1,French Première Ligue,Première Ligue
12702,2024,2024 Emirates Cup,2024-emirates-cup,11108,FRIENDLY.EMIRATES_CUP,Emirates Cup,Emirates Cup
12747,2024,2024-25 German Bundesliga,2024-25-german-bundesliga,720,GER.1,German Bundesliga,Bundesliga
12749,2024,2024-25 German 2. Bundesliga,2024-25-german-2-bundesliga,3927,GER.2,German 2. Bundesliga,2. Bundesliga
12609,2024,"2024-25 German Cup, Quarterfinals",quarterfinals,3954,GER.DFB_POKAL,German Cup,German Cup
12607,2024,"2024-25 German Cup, Final",final,3954,GER.DFB_POKAL,German Cup,German Cup
12608,2024,"2024-25 German Cup, Semifinals",semifinals,3954,GER.DFB_POKAL,German Cup,German Cup
12610,2024,"2024-25 German Cup, Round of 16",round-of-16,3954,GER.DFB_POKAL,German Cup,German Cup
12611,2024,"2024-25 German Cup, Second Round",second-round,3954,GER.DFB_POKAL,German Cup,German Cup
12612,2024,"2024-25 German Cup, First Round",first-round,3954,GER.DFB_POKAL,German Cup,German Cup
12621,2024,2024 German Super Cup,2024-german-super-cup,8101,GER.SUPER_CUP,German DFL-Supercup,DFL-Supercup
12846,2024,2024-25 Ghanaian Premier League,2024-25-ghanaian-premier-league,11052,GHA.1,Ghanaian Premier League,Ghanaian Premier League
13139,2024,"2024 Arabian Gulf Cup, Final",final,23107,GLOBAL.GULF_CUP,Arabian Gulf Cup,Arabian Gulf Cup
13137,2024,"2024 Arabian Gulf Cup, Arabian Gulf Cup - Group Stage",arabian-gulf-cup---group-stage,23107,GLOBAL.GULF_CUP,Arabian Gulf Cup,Arabian Gulf Cup
